Species,Treatment,Genotype,Median.RR,Fv.Fm.end,Fv.Fm.change,BW.change,Ratio
Pcli,Control,PC12,3.626,0.375166667,-0.147333333,0.1574,144.7360649
Pcli,Control,PC17,2.363,0.399,-0.134833333,0.1989,7.885817512
Pcli,Control,PC3,2.335,0.382666667,-0.149333333,0.249783333,40.46069994
Pcli,OA,PC12,2.388,0.368,-0.148166667,0.23205,149.7360649
Pcli,OA,PC17,1.014,0.404666667,-0.0895,0.244633333,7.885817512
Pcli,OA,PC3,0.9939,0.3745,-0.066,0.191216667,40.46069994
Pcli,OW,PC12,4.954,0.382,-0.179833333,0.178066667,144.7360649
Pcli,OW,PC17,2.328,0.435,-0.105666667,0.23494,7.885817512
Pcli,OW,PC3,2.325,0.352,-0.199,0.209,40.46069994
Pcli,OAOW,PC12,2.37,0.341833333,-0.210833333,0.05375,144.7360649
Pcli,OAOW,PC17,2.369,0.436,-0.078666667,0.107,7.885817512
Pcli,OAOW,PC3,2.316,0.356166667,-0.1765,0.15692,40.46069994
